trial	val_mae	memory_gb	status	description
87	5.2551	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.00036068309120910254 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.01147085707289661
88	5.1374	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.00035809609584342133 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.011570046596692715
89	5.0976	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0003323586789261053 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.014330530125573747
90	5.1774	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.0002472293332900047 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.014727736525001096
91	5.3561	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.00026930647095220505 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.01381463105130438
92	5.5931	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0003367774940754407 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.014787982119635902
93	5.3566	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.00024432720177383166 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.016893516578523695
94	5.5398	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.00018493298644649576 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.012126922843275892
95	5.0833	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.00044661504275339455 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.013512473485352828
96	5.7495	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.0001184839820142199 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.013065342191816777
97	5.6586	3.1	ok	batch_size=32 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0004146127872807581 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.01035095287931195
98	6.6174	6.0	ok	batch_size=64 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.00014875789349027107 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.016009040073310346
99	5.2996	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.00028032195808692695 lr_schedule=linear warmup_ratio=0.04 weight_decay=0.01770095244870585
0	7.6483	5.8	ok	batch_size=64 beta1=0.85 dropout=0.2 head_dropout=0.35000000000000003 head_type=linear learning_rate=0.0003574712922600243 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04753571532049581
1	6.0275	1.6	ok	batch_size=16 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.4 head_type=mlp learning_rate=0.0002814509271606064 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.026237821581611892
0	7.7177	5.8	ok	batch_size=64 beta1=0.85 dropout=0.2 head_dropout=0.35000000000000003 head_type=linear learning_rate=0.0003574712922600243 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04753571532049581
1	5.9028	1.6	ok	batch_size=16 beta1=0.85 dropout=0.15000000000000002 head_dropout=0.4 head_type=mlp learning_rate=0.0002814509271606064 lr_schedule=linear warmup_ratio=0.02 weight_decay=0.026237821581611892
2	6.0169	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.25 head_type=linear learning_rate=0.00012476394272569445 lr_schedule=cosine warmup_ratio=0.0 weight_decay=0.04744427686266667
3	5.2973	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.000642033033629786 lr_schedule=linear warmup_ratio=0.0 weight_decay=0.009242722776276352
4	5.8816	2.4	ok	batch_size=24 beta1=0.85 dropout=0.0 head_dropout=0.4 head_type=mlp learning_rate=0.00026000059117302663 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.027134804157912425
